CHO 1
1024
161531 0 1 6 30 217 1116 3868 9704 17073 
21040 19439 12596 6059 2406 665 137 20 0 2 
0 0 0 1 0 0 0 0 2 0 
0 0 1 5 1 0 0 0 2 0 
1 1 6 8 15 22 59 73 64 74 
66 70 64 91 95 86 77 88 73 92 
81 82 101 81 88 83 90 83 76 99 
80 87 95 82 87 101 81 82 90 93 
72 87 84 81 69 97 83 82 89 85 
99 104 78 107 120 118 115 109 115 123 
105 123 118 112 127 128 117 133 125 114 
113 124 135 135 136 136 133 134 145 118 
127 136 115 137 133 117 124 154 144 139 
144 156 188 172 205 186 206 195 226 222 
220 225 253 215 234 261 246 253 229 267 
233 215 275 245 238 237 261 244 232 222 
222 237 237 182 186 203 168 146 159 145 
123 113 107 80 116 92 83 104 110 122 
105 156 131 141 149 150 185 200 185 172 
197 206 179 215 185 201 218 194 207 239 
205 173 205 215 193 176 199 216 212 228 
219 215 204 217 248 235 257 241 246 275 
321 359 339 391 407 413 406 412 335 362 
338 337 358 343 356 345 332 335 313 341 
364 362 336 297 300 317 297 286 318 305 
421 579 972 1236 1697 2027 2111 1866 1397 803 
413 297 176 120 119 113 99 92 112 85 
96 123 163 246 392 522 709 938 984 870 
658 418 250 130 65 69 67 45 59 49 
35 56 44 45 51 42 51 54 51 51 
59 39 40 46 52 48 51 44 64 43 
48 51 40 50 42 47 43 41 53 53 
53 39 49 52 41 48 37 41 45 44 
36 45 47 49 35 49 48 34 61 61 
60 91 128 257 411 605 813 898 695 455 
320 130 46 13 4 2 1 0 1 0 
0 1 0 0 0 0 0 0 0 0 
0 2 0 0 1 0 0 2 0 1 
0 1 2 0 0 0 1 0 1 0 
1 0 0 0 0 0 0 0 0 0 
0 2 0 0 0 0 1 1 0 0 
0 1 0 0 0 0 1 0 0 0 
0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 1 0 0 1 0 
0 1 0 0 0 0 0 1 0 0 
0 0 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 1 
1 0 0 0 1 1 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 
1 0 0 0 0 1 1 1 0 0 
0 0 0 1 0 0 0 0 0 0 
0 0 1 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 
